number_plate,image_link,detected_number_plate,driver_violation,passenger_violation,message
KA05MB1391,http://203.201.61.110:7274/violation_images/2025/Nov/29/KA05MB1391_1764394379391.jpg,,,,No violation detected - all occupants wearing seatbelts
KA53MF7432,http://203.201.61.110:7274/violation_images/2025/Nov/29/KA53MF7432_1764405418254.jpg,KA09D6002 (0.990),,passenger_not_wearing_seatbelt (0.42),Violation detected
KA53MF7432,http://203.201.61.110:7274/violation_images/2025/Nov/29/KA53MF7432_1764405418254.jpg,KA53MF7432 (0.974),,passenger_not_wearing_seatbelt (0.63),Violation detected
KA35D3246,http://203.201.61.110:7274/violation_images/2025/Nov/29/KA35D3246_1764390601605.jpg,,,,No violation detected - all occupants wearing seatbelts
KA09G0821,http://203.201.61.110:7274/violation_images/2025/Nov/29/KA09G0821_1764381421222.jpg,,,,No violation detected - all occupants wearing seatbelts
KA36M8102,http://203.201.61.110:7274/violation_images/2025/Nov/29/KA36M8102_1764390234409.jpg,,,,No violation detected - all occupants wearing seatbelts
KA55M2284,http://203.201.61.110:7274/violation_images/2025/Nov/29/KA55M2284_1764385425049.jpg,KA55M2284 (0.996),,passenger_not_wearing_seatbelt (0.76),Violation detected
KA34A4942,http://203.201.61.110:7274/violation_images/2025/Nov/29/KA34A4942_1764380633748.jpg,,,,No violation detected - all occupants wearing seatbelts
KA51AJ0541,http://203.201.61.110:7274/violation_images/2025/Nov/29/KA51AJ0541_1764376747192.jpg,RA51AJ0541 (0.924),Driver_not_wearing_seatbelt (0.48),,Violation detected
KA09F4791,http://203.201.61.110:7274/violation_images/2025/Nov/29/KA09F4791_1764394890466.jpg,,,,No violation detected - all occupants wearing seatbelts
KA10M3604,http://203.201.61.110:7274/violation_images/2025/Nov/29/KA10M3604_1764388158084.jpg,,,,No violation detected - all occupants wearing seatbelts
KA41MD7748,http://203.201.61.110:7274/violation_images/2025/Nov/29/KA41MD7748_1764379594461.jpg,,,,No violation detected - all occupants wearing seatbelts
KA09AA4652,http://203.201.61.110:7274/violation_images/2025/Nov/29/KA09AA4652_1764379496275.jpg,,,,No violation detected - all occupants wearing seatbelts
KA09P3981,http://203.201.61.110:7274/violation_images/2025/Nov/29/KA09P3981_1764382777395.jpg,KA09P3981 (0.787),,passenger_not_wearing_seatbelt (0.73),Violation detected
KA34M1313,http://203.201.61.110:7274/violation_images/2025/Nov/29/KA34M1313_1764383793526.jpg,,,,No violation detected - all occupants wearing seatbelts
KA09MG8452,http://203.201.61.110:7274/violation_images/2025/Nov/29/KA09MG8452_1764404919266.jpg,KA09MG8452 (0.978),,passenger_not_wearing_seatbelt (0.75),Violation detected
KA51AB6211,http://203.201.61.110:7274/violation_images/2025/Nov/29/KA51AB6211_1764406106572.jpg,,,,No violation detected - all occupants wearing seatbelts
KA04MK8657,http://203.201.61.110:7274/violation_images/2025/Nov/29/KA04MK8657_1764404346965.jpg,,,,No violation detected - all occupants wearing seatbelts
KA03MU1830,http://203.201.61.110:7274/violation_images/2025/Nov/29/KA03MU1830_1764389268178.jpg,,,,No violation detected - all occupants wearing seatbelts
KA02MP6377,http://203.201.61.110:7274/violation_images/2025/Nov/29/KA02MP6377_1764389499666.jpg,,,,No violation detected - all occupants wearing seatbelts
KA19MA5808,http://203.201.61.110:7274/violation_images/2025/Nov/29/KA19MA5808_1764387588473.jpg,,,,No violation detected - all occupants wearing seatbelts
KA16P6851,http://203.201.61.110:7274/violation_images/2025/Nov/29/KA16P6851_1764393092155.jpg,,,,No violation detected - all occupants wearing seatbelts
KA41P3289,http://203.201.61.110:7274/violation_images/2025/Nov/29/KA41P3289_1764402466616.jpg,KA41P3289 (0.994),,passenger_not_wearing_seatbelt (0.69),Violation detected
KA01MF7803,http://203.201.61.110:7274/violation_images/2025/Nov/29/KA01MF7803_1764404175832.jpg,KA01MF7803 (0.958),,passenger_not_wearing_seatbelt (0.52),Violation detected
KA09ME0428,http://203.201.61.110:7274/violation_images/2025/Nov/29/KA09ME0428_1764389960127.jpg,KA09ME0428 (0.949),Driver_not_wearing_seatbelt (0.76),,Violation detected
KA50MB8384,http://203.201.61.110:7274/violation_images/2025/Nov/29/KA50MB8384_1764391856749.jpg,,,,No violation detected - all occupants wearing seatbelts
KA09MD2924,http://203.201.61.110:7274/violation_images/2025/Nov/29/KA09MD2924_1764389666480.jpg,,,,No violation detected - all occupants wearing seatbelts
KA03NC3456,http://203.201.61.110:7274/violation_images/2025/Nov/29/KA03NC3456_1764389380981.jpg,KA03NC3456 (0.979),,passenger_not_wearing_seatbelt (0.60),Violation detected
KA14MA8842,http://203.201.61.110:7274/violation_images/2025/Nov/29/KA14MA8842_1764391696761.jpg,,,,No violation detected - all occupants wearing seatbelts
KA40F0856,http://203.201.61.110:7274/violation_images/2025/Nov/29/KA40F0856_1764383259739.jpg,,,,No violation detected - all occupants wearing seatbelts
KA09MG5367,http://203.201.61.110:7274/violation_images/2025/Nov/29/KA09MG5367_1764393635417.jpg,,,,No violation detected - all occupants wearing seatbelts
KA01MH3992,http://203.201.61.110:7274/violation_images/2025/Nov/29/KA01MH3992_1764404782815.jpg,,,,No violation detected - all occupants wearing seatbelts
KA51MK5223,http://203.201.61.110:7274/violation_images/2025/Nov/29/KA51MK5223_1764402289128.jpg,,,,No violation detected - all occupants wearing seatbelts
KA04AC0970,http://203.201.61.110:7274/violation_images/2025/Nov/29/KA04AC0970_1764384110095.jpg,,,,No violation detected - all occupants wearing seatbelts
KA09MF1706,http://203.201.61.110:7274/violation_images/2025/Nov/29/KA09MF1706_1764392371303.jpg,,,,No violation detected - all occupants wearing seatbelts
KA03NG0727,http://203.201.61.110:7274/violation_images/2025/Nov/29/KA03NG0727_1764390136826.jpg,,,,No violation detected - all occupants wearing seatbelts
KA16P4299,http://203.201.61.110:7274/violation_images/2025/Nov/29/KA16P4299_1764402842847.jpg,KA16P4299 (0.996),,passenger_not_wearing_seatbelt (0.65); passenger_not_wearing_seatbelt (0.52),Violation detected
KA09B2528,http://203.201.61.110:7274/violation_images/2025/Nov/29/KA09B2528_1764394701373.jpg,,,,No violation detected - all occupants wearing seatbelts
KA04MA1362,http://203.201.61.110:7274/violation_images/2025/Nov/29/KA04MA1362_1764403050792.jpg,KA04MA1362 (0.986),,passenger_not_wearing_seatbelt (0.41),Violation detected
KA09Z0442,http://203.201.61.110:7274/violation_images/2025/Nov/29/KA09Z0442_1764387651602.jpg,KA09Z0442 (0.969),,passenger_not_wearing_seatbelt (0.69),Violation detected
KA02AE0982,http://203.201.61.110:7274/violation_images/2025/Nov/29/KA02AE0982_1764395058587.jpg,,,,No violation detected - all occupants wearing seatbelts
KA34M5912,http://203.201.61.110:7274/violation_images/2025/Nov/29/KA34M5912_1764385834189.jpg,,,,No violation detected - all occupants wearing seatbelts
KA53Z9879,http://203.201.61.110:7274/violation_images/2025/Nov/29/KA53Z9879_1764386966216.jpg,,,,No violation detected - all occupants wearing seatbelts
KA09MD6763,http://203.201.61.110:7274/violation_images/2025/Nov/29/KA09MD6763_1764402153097.jpg,KA09MD6763 (0.985),,passenger_not_wearing_seatbelt (0.78),Violation detected
KA03M6557,http://203.201.61.110:7274/violation_images/2025/Nov/29/KA03M6557_1764388018171.jpg,,,,No violation detected - all occupants wearing seatbelts
